SCHOOL CODE, SCHOOL NAME, GENDER, GENDER TOTAL, DIV I, DIV II, DIV III, DIV IV, DIV 0, ABS/WITHHELD
S0101, AZANIA, F, 0, 0, 0, 0, 0, 0, 0
S0101, AZANIA, M, 235, 11, 33, 119, 38, 31, 3
S0101, AZANIA, All, 235, 11, 33, 119, 38, 31, 3
S0103, BIHAWANA, F, 0, 0, 0, 0, 0, 0, 0
S0103, BIHAWANA, M, 399, 11, 88, 254, 29, 12, 5
S0103, BIHAWANA, All, 399, 11, 88, 254, 29, 12, 5
S0104, BWIRU BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0104, BWIRU BOYS, M, 179, 13, 53, 94, 11, 7, 1
S0104, BWIRU BOYS, All, 179, 13, 53, 94, 11, 7, 1
S0106, DUNG'UNYI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, M, 22, 0, 13, 9, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, All, 22, 0, 13, 9, 0, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, F, 37, 1, 7, 25, 4, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, M, 77, 3, 17, 49, 8, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, All, 114, 4, 24, 74, 12, 0, 0
S0108, IFUNDA TECHNICAL, F, 114, 0, 21, 69, 19, 3, 2
S0108, IFUNDA TECHNICAL, M, 342, 11, 63, 173, 55, 36, 4
S0108, IFUNDA TECHNICAL, All, 456, 11, 84, 242, 74, 39, 6
S0109, IHUNGO, F, 0, 0, 0, 0, 0, 0, 0
S0109, IHUNGO, M, 427, 33, 158, 199, 19, 16, 2
S0109, IHUNGO, All, 427, 33, 158, 199, 19, 16, 2
S0110, ILBORU, F, 0, 0, 0, 0, 0, 0, 0
S0110, ILBORU, M, 223, 116, 72, 30, 0, 0, 5
S0110, ILBORU, All, 223, 116, 72, 30, 0, 0, 5
S0111, ITAGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0111, ITAGA SEMINARY, M, 16, 1, 5, 6, 1, 3, 0
S0111, ITAGA SEMINARY, All, 16, 1, 5, 6, 1, 3, 0
S0112, IYUNGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0112, IYUNGA TECHNICAL, M, 198, 20, 61, 93, 11, 11, 2
S0112, IYUNGA TECHNICAL, All, 198, 20, 61, 93, 11, 11, 2
S0113, MAFINGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, M, 45, 5, 21, 18, 1, 0, 0
S0113, MAFINGA SEMINARY, All, 45, 5, 21, 18, 1, 0, 0
S0115, KAHORORO, F, 0, 0, 0, 0, 0, 0, 0
S0115, KAHORORO, M, 318, 29, 103, 156, 16, 11, 3
S0115, KAHORORO, All, 318, 29, 103, 156, 16, 11, 3
S0116, KANTALAMBA, F, 0, 0, 0, 0, 0, 0, 0
S0116, KANTALAMBA, M, 168, 5, 85, 72, 3, 1, 2
S0116, KANTALAMBA, All, 168, 5, 85, 72, 3, 1, 2
S0117, KASITA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0117, KASITA SEMINARY, M, 37, 0, 13, 24, 0, 0, 0
S0117, KASITA SEMINARY, All, 37, 0, 13, 24, 0, 0, 0
S0119, KIBAHA, F, 0, 0, 0, 0, 0, 0, 0
S0119, KIBAHA, M, 165, 90, 59, 14, 1, 0, 1
S0119, KIBAHA, All, 165, 90, 59, 14, 1, 0, 1
S0120, KIGONSERA, F, 0, 0, 0, 0, 0, 0, 0
S0120, KIGONSERA, M, 505, 28, 204, 245, 19, 5, 4
S0120, KIGONSERA, All, 505, 28, 204, 245, 19, 5, 4
S0121, ST. JAMES SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0121, ST. JAMES SEMINARY, M, 33, 14, 13, 6, 0, 0, 0
S0121, ST. JAMES SEMINARY, All, 33, 14, 13, 6, 0, 0, 0
S0123, KWIRO, F, 0, 0, 0, 0, 0, 0, 0
S0123, KWIRO, M, 331, 63, 158, 100, 7, 1, 2
S0123, KWIRO, All, 331, 63, 158, 100, 7, 1, 2
S0125, LYAMUNGO, F, 0, 0, 0, 0, 0, 0, 0
S0125, LYAMUNGO, M, 459, 24, 197, 222, 12, 4, 0
S0125, LYAMUNGO, All, 459, 24, 197, 222, 12, 4, 0
S0128, MALANGALI, F, 0, 0, 0, 0, 0, 0, 0
S0128, MALANGALI, M, 312, 26, 222, 63, 0, 1, 0
S0128, MALANGALI, All, 312, 26, 222, 63, 0, 1, 0
S0129, MARA, F, 0, 0, 0, 0, 0, 0, 0
S0129, MARA, M, 172, 7, 61, 86, 8, 0, 10
S0129, MARA, All, 172, 7, 61, 86, 8, 0, 10
S0130, MAUA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0130, MAUA SEMINARY, M, 22, 11, 11, 0, 0, 0, 0
S0130, MAUA SEMINARY, All, 22, 11, 11, 0, 0, 0, 0
S0132, MILAMBO, F, 0, 0, 0, 0, 0, 0, 0
S0132, MILAMBO, M, 407, 21, 124, 204, 39, 17, 2
S0132, MILAMBO, All, 407, 21, 124, 204, 39, 17, 2
S0133, MINAKI, F, 0, 0, 0, 0, 0, 0, 0
S0133, MINAKI, M, 424, 26, 129, 214, 32, 20, 3
S0133, MINAKI, All, 424, 26, 129, 214, 32, 20, 3
