SCHOOL CODE, SCHOOL NAME, GENDER, GENDER TOTAL, DIV I, DIV II, DIV III, DIV IV, DIV 0, ABS/WITHHELD
S0101, AZANIA, F, 0, 0, 0, 0, 0, 0, 0
S0101, AZANIA, M, 244, 23, 32, 108, 51, 23, 7
S0101, AZANIA, All, 244, 23, 32, 108, 51, 23, 7
S0103, BIHAWANA, F, 0, 0, 0, 0, 0, 0, 0
S0103, BIHAWANA, M, 198, 1, 26, 120, 46, 4, 1
S0103, BIHAWANA, All, 198, 1, 26, 120, 46, 4, 1
S0104, BWIRU BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0104, BWIRU BOYS, M, 127, 8, 25, 75, 18, 1, 0
S0104, BWIRU BOYS, All, 127, 8, 25, 75, 18, 1, 0
S0106, DUNG'UNYI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, M, 5, 0, 5, 0, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, All, 5, 0, 5, 0, 0, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, F, 52, 0, 6, 34, 11, 1, 0
S0107, LUTHERAN JUNIOR SEMINARY, M, 75, 4, 10, 45, 16, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, All, 127, 4, 16, 79, 27, 1, 0
S0108, IFUNDA TECHNICAL, F, 42, 2, 6, 28, 5, 1, 0
S0108, IFUNDA TECHNICAL, M, 284, 12, 37, 162, 66, 4, 3
S0108, IFUNDA TECHNICAL, All, 326, 14, 43, 190, 71, 5, 3
S0109, IHUNGO, F, 0, 0, 0, 0, 0, 0, 0
S0109, IHUNGO, M, 324, 4, 35, 205, 67, 8, 5
S0109, IHUNGO, All, 324, 4, 35, 205, 67, 8, 5
S0110, ILBORU, F, 0, 0, 0, 0, 0, 0, 0
S0110, ILBORU, M, 153, 53, 50, 45, 3, 0, 2
S0110, ILBORU, All, 153, 53, 50, 45, 3, 0, 2
S0111, ITAGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0111, ITAGA SEMINARY, M, 16, 1, 1, 10, 4, 0, 0
S0111, ITAGA SEMINARY, All, 16, 1, 1, 10, 4, 0, 0
S0112, IYUNGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0112, IYUNGA TECHNICAL, M, 158, 1, 13, 74, 56, 11, 3
S0112, IYUNGA TECHNICAL, All, 158, 1, 13, 74, 56, 11, 3
S0113, MAFINGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, M, 41, 3, 11, 25, 2, 0, 0
S0113, MAFINGA SEMINARY, All, 41, 3, 11, 25, 2, 0, 0
S0115, KAHORORO, F, 0, 0, 0, 0, 0, 0, 0
S0115, KAHORORO, M, 260, 11, 43, 133, 67, 6, 0
S0115, KAHORORO, All, 260, 11, 43, 133, 67, 6, 0
S0116, KANTALAMBA, F, 0, 0, 0, 0, 0, 0, 0
S0116, KANTALAMBA, M, 111, 8, 45, 49, 8, 0, 1
S0116, KANTALAMBA, All, 111, 8, 45, 49, 8, 0, 1
S0117, KASITA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0117, KASITA SEMINARY, M, 20, 0, 8, 11, 1, 0, 0
S0117, KASITA SEMINARY, All, 20, 0, 8, 11, 1, 0, 0
S0118, KATOKE SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0118, KATOKE SEMINARY, M, 9, 3, 3, 3, 0, 0, 0
S0118, KATOKE SEMINARY, All, 9, 3, 3, 3, 0, 0, 0
S0119, KIBAHA, F, 0, 0, 0, 0, 0, 0, 0
S0119, KIBAHA, M, 167, 82, 59, 18, 2, 0, 6
S0119, KIBAHA, All, 167, 82, 59, 18, 2, 0, 6
S0120, KIGONSERA, F, 0, 0, 0, 0, 0, 0, 0
S0120, KIGONSERA, M, 285, 9, 65, 166, 37, 2, 6
S0120, KIGONSERA, All, 285, 9, 65, 166, 37, 2, 6
S0121, ST. JAMES SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0121, ST. JAMES SEMINARY, M, 11, 2, 7, 2, 0, 0, 0
S0121, ST. JAMES SEMINARY, All, 11, 2, 7, 2, 0, 0, 0
S0123, KWIRO, F, 0, 0, 0, 0, 0, 0, 0
S0123, KWIRO, M, 325, 10, 56, 190, 63, 6, 0
S0123, KWIRO, All, 325, 10, 56, 190, 63, 6, 0
S0125, LYAMUNGO, F, 0, 0, 0, 0, 0, 0, 0
S0125, LYAMUNGO, M, 464, 11, 96, 269, 80, 4, 4
S0125, LYAMUNGO, All, 464, 11, 96, 269, 80, 4, 4
S0128, MALANGALI, F, 0, 0, 0, 0, 0, 0, 0
S0128, MALANGALI, M, 83, 14, 47, 22, 0, 0, 0
S0128, MALANGALI, All, 83, 14, 47, 22, 0, 0, 0
S0129, MARA, F, 0, 0, 0, 0, 0, 0, 0
S0129, MARA, M, 208, 11, 59, 108, 25, 4, 1
S0129, MARA, All, 208, 11, 59, 108, 25, 4, 1
S0130, MAUA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0130, MAUA SEMINARY, M, 27, 13, 10, 4, 0, 0, 0
S0130, MAUA SEMINARY, All, 27, 13, 10, 4, 0, 0, 0
S0132, MILAMBO, F, 0, 0, 0, 0, 0, 0, 0
S0132, MILAMBO, M, 392, 23, 66, 177, 103, 21, 2
S0132, MILAMBO, All, 392, 23, 66, 177, 103, 21, 2
S0133, MINAKI, F, 0, 0, 0, 0, 0, 0, 0
S0133, MINAKI, M, 397, 18, 62, 215, 77, 20, 5
S0133, MINAKI, All, 397, 18, 62, 215, 77, 20, 5
S0134, MOSHI, F, 0, 0, 0, 0, 0, 0, 0
S0134, MOSHI, M, 280, 21, 54, 130, 57, 17, 1
S0134, MOSHI, All, 280, 21, 54, 130, 57, 17, 1
S0135, MOSHI TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0135, MOSHI TECHNICAL, M, 230, 10, 30, 123, 48, 17, 2
S0135, MOSHI TECHNICAL, All, 230, 10, 30, 123, 48, 17, 2
S0136, MUSOMA, F, 0, 0, 0, 0, 0, 0, 0
S0136, MUSOMA, M, 198, 8, 37, 107, 39, 5, 2
S0136, MUSOMA, All, 198, 8, 37, 107, 39, 5, 2
S0138, MPWAPWA, F, 25, 7, 12, 3, 2, 0, 1
S0138, MPWAPWA, M, 91, 24, 32, 31, 3, 1, 0
S0138, MPWAPWA, All, 116, 31, 44, 34, 5, 1, 1
S0139, MTWARA TECHNICAL, F, 19, 0, 0, 11, 8, 0, 0
S0139, MTWARA TECHNICAL, M, 84, 1, 2, 41, 33, 7, 0
S0139, MTWARA TECHNICAL, All, 103, 1, 2, 52, 41, 7, 0
S0140, MZUMBE, F, 0, 0, 0, 0, 0, 0, 0
S0140, MZUMBE, M, 128, 56, 38, 29, 2, 0, 3
S0140, MZUMBE, All, 128, 56, 38, 29, 2, 0, 3
S0142, GALANOS, F, 0, 0, 0, 0, 0, 0, 0
S0142, GALANOS, M, 408, 39, 88, 227, 45, 5, 4
S0142, GALANOS, All, 408, 39, 88, 227, 45, 5, 4
S0143, NJOMBE, F, 0, 0, 0, 0, 0, 0, 0
S0143, NJOMBE, M, 422, 19, 80, 211, 96, 14, 2
S0143, NJOMBE, All, 422, 19, 80, 211, 96, 14, 2
S0144, NSUMBA, F, 0, 0, 0, 0, 0, 0, 0
S0144, NSUMBA, M, 322, 32, 85, 144, 54, 5, 2
S0144, NSUMBA, All, 322, 32, 85, 144, 54, 5, 2
S0145, NYAKATO, F, 0, 0, 0, 0, 0, 0, 0
S0145, NYAKATO, M, 250, 14, 49, 123, 53, 10, 1
S0145, NYAKATO, All, 250, 14, 49, 123, 53, 10, 1
S0146, NYEGEZI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0146, NYEGEZI SEMINARY, M, 25, 4, 5, 16, 0, 0, 0
S0146, NYEGEZI SEMINARY, All, 25, 4, 5, 16, 0, 0, 0
S0147, PUGU, F, 0, 0, 0, 0, 0, 0, 0
S0147, PUGU, M, 245, 34, 49, 119, 34, 5, 4
S0147, PUGU, All, 245, 34, 49, 119, 34, 5, 4
S0148, RUBYA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0148, RUBYA SEMINARY, M, 10, 6, 3, 1, 0, 0, 0
S0148, RUBYA SEMINARY, All, 10, 6, 3, 1, 0, 0, 0
S0149, RUNGWE, F, 0, 0, 0, 0, 0, 0, 0
S0149, RUNGWE, M, 363, 27, 91, 184, 55, 5, 1
S0149, RUNGWE, All, 363, 27, 91, 184, 55, 5, 1
S0150, SAME, F, 0, 0, 0, 0, 0, 0, 0
S0150, SAME, M, 343, 12, 62, 180, 75, 13, 1
S0150, SAME, All, 343, 12, 62, 180, 75, 13, 1
S0151, SENGEREMA, F, 0, 0, 0, 0, 0, 0, 0
S0151, SENGEREMA, M, 387, 14, 64, 200, 102, 5, 2
S0151, SENGEREMA, All, 387, 14, 64, 200, 102, 5, 2
S0152, SHINYANGA, F, 0, 0, 0, 0, 0, 0, 0
S0152, SHINYANGA, M, 160, 6, 28, 84, 40, 1, 1
S0152, SHINYANGA, All, 160, 6, 28, 84, 40, 1, 1
S0153, SONGEA BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0153, SONGEA BOYS, M, 286, 26, 67, 157, 33, 3, 0
S0153, SONGEA BOYS, All, 286, 26, 67, 157, 33, 3, 0
S0154, ST.PETER'S SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0154, ST.PETER'S SEMINARY, M, 31, 1, 12, 18, 0, 0, 0
S0154, ST.PETER'S SEMINARY, All, 31, 1, 12, 18, 0, 0, 0
S0155, TABORA BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0155, TABORA BOYS, M, 158, 49, 62, 45, 2, 0, 0
S0155, TABORA BOYS, All, 158, 49, 62, 45, 2, 0, 0
S0156, TANGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0156, TANGA TECHNICAL, M, 142, 5, 18, 74, 34, 10, 1
S0156, TANGA TECHNICAL, All, 142, 5, 18, 74, 34, 10, 1
S0158, TOSAMAGANGA, F, 0, 0, 0, 0, 0, 0, 0
S0158, TOSAMAGANGA, M, 445, 11, 64, 284, 73, 9, 4
S0158, TOSAMAGANGA, All, 445, 11, 64, 284, 73, 9, 4
S0160, UMBWE, F, 0, 0, 0, 0, 0, 0, 0
S0160, UMBWE, M, 322, 73, 89, 132, 23, 4, 1
