SCHOOL CODE, SCHOOL NAME, GENDER, GENDER TOTAL, DIV I, DIV II, DIV III, DIV IV, DIV 0, ABS/WITHHELD
S0101, AZANIA, F, 0, 0, 0, 0, 0, 0, 0
S0101, AZANIA, M, 356, 26, 73, 50, 115, 87, 5
S0101, AZANIA, All, 356, 26, 73, 50, 115, 87, 5
S0104, BWIRU BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0104, BWIRU BOYS, M, 117, 31, 25, 25, 25, 11, 0
S0104, BWIRU BOYS, All, 117, 31, 25, 25, 25, 11, 0
S0105, CHIDYA, F, 0, 0, 0, 0, 0, 0, 0
S0105, CHIDYA, M, 88, 5, 22, 13, 35, 12, 1
S0105, CHIDYA, All, 88, 5, 22, 13, 35, 12, 1
S0106, DUNG'UNYI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, M, 34, 17, 9, 6, 2, 0, 0
S0106, DUNG'UNYI SEMINARY, All, 34, 17, 9, 6, 2, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, F, 39, 8, 22, 8, 1, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, M, 55, 4, 36, 14, 1, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, All, 94, 12, 58, 22, 2, 0, 0
S0108, IFUNDA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0108, IFUNDA TECHNICAL, M, 141, 30, 23, 37, 40, 8, 3
S0108, IFUNDA TECHNICAL, All, 141, 30, 23, 37, 40, 8, 3
S0110, ILBORU, F, 0, 0, 0, 0, 0, 0, 0
S0110, ILBORU, M, 109, 54, 35, 12, 6, 1, 1
S0110, ILBORU, All, 109, 54, 35, 12, 6, 1, 1
S0111, ITAGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0111, ITAGA SEMINARY, M, 42, 22, 20, 0, 0, 0, 0
S0111, ITAGA SEMINARY, All, 42, 22, 20, 0, 0, 0, 0
S0112, IYUNGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0112, IYUNGA TECHNICAL, M, 117, 22, 36, 32, 23, 3, 1
S0112, IYUNGA TECHNICAL, All, 117, 22, 36, 32, 23, 3, 1
S0113, MAFINGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, M, 23, 22, 1, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, All, 23, 22, 1, 0, 0, 0, 0
S0114, KAENGESA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0114, KAENGESA SEMINARY, M, 34, 18, 16, 0, 0, 0, 0
S0114, KAENGESA SEMINARY, All, 34, 18, 16, 0, 0, 0, 0
S0116, KANTALAMBA, F, 0, 0, 0, 0, 0, 0, 0
S0116, KANTALAMBA, M, 172, 17, 42, 43, 48, 21, 1
S0116, KANTALAMBA, All, 172, 17, 42, 43, 48, 21, 1
S0117, KASITA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0117, KASITA SEMINARY, M, 48, 28, 20, 0, 0, 0, 0
S0117, KASITA SEMINARY, All, 48, 28, 20, 0, 0, 0, 0
S0118, KATOKE SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0118, KATOKE SEMINARY, M, 45, 37, 7, 1, 0, 0, 0
S0118, KATOKE SEMINARY, All, 45, 37, 7, 1, 0, 0, 0
S0119, KIBAHA, F, 0, 0, 0, 0, 0, 0, 0
