SCHOOL CODE, SCHOOL NAME, REGION, GPA, SUBJECT_CODE, SUBJECT_NAME, SUBJECT_GPA, SUBJECT_REG_RANK, SUBJECT_NAT_RANK 
S0101, AZANIA, DAR ES SALAAM, 210, 111, GENERAL STUDIES, 4.4762, 23,240
S0101, AZANIA, DAR ES SALAAM, 210, 112, HISTORY, 2.4375, 6,73
S0101, AZANIA, DAR ES SALAAM, 210, 113, GEOGRAPHY, 3.6333, 28,253
S0101, AZANIA, DAR ES SALAAM, 210, 115, ISLAMIC KNOWLEDGE, 5.1250, 8,33
S0101, AZANIA, DAR ES SALAAM, 210, 121, KISWAHILI, 2.2500, 15,156
S0101, AZANIA, DAR ES SALAAM, 210, 131, PHYSICS, 4.9562, 15,117
S0101, AZANIA, DAR ES SALAAM, 210, 132, CHEMISTRY, 3.9708, 18,160
S0101, AZANIA, DAR ES SALAAM, 210, 133, BIOLOGY, 3.8615, 17,126
S0101, AZANIA, DAR ES SALAAM, 210, 141, BASIC APPLIED MATHEMATICS, 4.6364, 20,150
S0101, AZANIA, DAR ES SALAAM, 210, 142, ADVANCED MATHEMATICS, 4.5172, 20,176
S0101, AZANIA, DAR ES SALAAM, 210, 151, ECONOMICS, 2.8205, 21,105
S0101, AZANIA, DAR ES SALAAM, 210, 152, COMMERCE, 2.8235, 11,20
S0101, AZANIA, DAR ES SALAAM, 210, 153, ACCOUNTANCY, 3.8529, 17,44
S0103, BIHAWANA, DODOMA, 187, 111, GENERAL STUDIES, 5.0209, 13,413
S0103, BIHAWANA, DODOMA, 187, 112, HISTORY, 3.3077, 13,376
S0103, BIHAWANA, DODOMA, 187, 113, GEOGRAPHY, 3.9076, 13,354
S0103, BIHAWANA, DODOMA, 187, 122, ENGLISH LANGUAGE, 3.5769, 13,335
S0103, BIHAWANA, DODOMA, 187, 131, PHYSICS, 5.3333, 8,174
S0103, BIHAWANA, DODOMA, 187, 132, CHEMISTRY, 4.0848, 9,178
S0103, BIHAWANA, DODOMA, 187, 133, BIOLOGY, 3.6424, 5,85
S0103, BIHAWANA, DODOMA, 187, 141, BASIC APPLIED MATHEMATICS, 4.9515, 7,193
S0104, BWIRU BOYS, MWANZA, 126, 111, GENERAL STUDIES, 5.1339, 21,422
S0104, BWIRU BOYS, MWANZA, 126, 113, GEOGRAPHY, 3.5938, 9,226
S0104, BWIRU BOYS, MWANZA, 126, 131, PHYSICS, 4.6526, 8,68
S0104, BWIRU BOYS, MWANZA, 126, 132, CHEMISTRY, 3.4947, 7,65
S0104, BWIRU BOYS, MWANZA, 126, 133, BIOLOGY, 3.2727, 1,44
