SCHOOL CODE, SCHOOL NAME, REGION, GPA, SUBJECT_CODE, SUBJECT_NAME, SUBJECT_GPA, SUBJECT_REG_RANK, SUBJECT_NAT_RANK 
S0104, BWIRU BOYS, MWANZA, 106, 011, CIVICS, 3.6838, 37,544
S0104, BWIRU BOYS, MWANZA, 106, 013, GEOGRAPHY, 4.2609, 92,1678
S0104, BWIRU BOYS, MWANZA, 106, 021, KISWAHILI, 3.3590, 43,630
S0104, BWIRU BOYS, MWANZA, 106, 022, ENGLISH LANGUAGE, 2.7607, 24,263
S0104, BWIRU BOYS, MWANZA, 106, 032, CHEMISTRY, 2.7949, 21,192
S0104, BWIRU BOYS, MWANZA, 106, 033, BIOLOGY, 2.1702, 9,98
S0104, BWIRU BOYS, MWANZA, 106, 035, ENGINEERING SCIENCE, 3.8718, 1,2
S0104, BWIRU BOYS, MWANZA, 106, 041, BASIC MATHEMATICS, 3.4615, 12,144
S0104, BWIRU BOYS, MWANZA, 106, 071, BUILDING CONSTRUCTION, 4.2353, 1,11
S0104, BWIRU BOYS, MWANZA, 106, 072, ARCHTECTURAL DRAUGHTING, 4.4510, 1,3
S0104, BWIRU BOYS, MWANZA, 106, 074, CARPENTRY & JOINERY, 4.7619, 1,6
S0104, BWIRU BOYS, MWANZA, 106, 075, BRICKWORK & MASONRY, 4.5000, 1,4
S0104, BWIRU BOYS, MWANZA, 106, 092, WORKSHOP TECHNOLOGY, 4.3788, 1,6
S0104, BWIRU BOYS, MWANZA, 106, 093, MOTOR VEHICLE MECHANICS, 4.2500, 1,3
S0104, BWIRU BOYS, MWANZA, 106, 094, WELDING & METAL FABRICATION, 4.3684, 1,3
S0104, BWIRU BOYS, MWANZA, 106, 095, FITTING & TURNING, 4.2632, 1,6
S0104, BWIRU BOYS, MWANZA, 106, 097, MECHANICAL DRAUGHTING, 4.1212, 1,4
S0105, CHIDYA, MTWARA, 75, 011, CIVICS, 3.7931, 8,656
S0105, CHIDYA, MTWARA, 75, 012, HISTORY, 3.7586, 12,695
S0105, CHIDYA, MTWARA, 75, 013, GEOGRAPHY, 3.6897, 6,596
S0105, CHIDYA, MTWARA, 75, 015, ELIMU YA DINI YA KIISLAMU, 4.3750, 14,377
S0105, CHIDYA, MTWARA, 75, 021, KISWAHILI, 3.4713, 16,808
S0105, CHIDYA, MTWARA, 75, 022, ENGLISH LANGUAGE, 3.6437, 8,794
S0105, CHIDYA, MTWARA, 75, 031, PHYSICS, 3.4091, 6,161
S0105, CHIDYA, MTWARA, 75, 032, CHEMISTRY, 3.1739, 8,445
S0105, CHIDYA, MTWARA, 75, 033, BIOLOGY, 3.3333, 7,587
S0105, CHIDYA, MTWARA, 75, 041, BASIC MATHEMATICS, 4.5977, 5,727
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 011, CIVICS, 2.9118, 2,54
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 012, HISTORY, 2.9706, 2,135
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 013, GEOGRAPHY, 2.8235, 3,97
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 014, BIBLE KNOWLEDGE, 2.5588, 2,60
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 021, KISWAHILI, 2.8235, 4,132
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 022, ENGLISH LANGUAGE, 2.3529, 4,144
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 031, PHYSICS, 3.4412, 3,173
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 032, CHEMISTRY, 2.8529, 3,218
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 033, BIOLOGY, 2.4706, 4,158
S0106, DUNG'UNYI SEMINARY, SINGIDA, 34, 041, BASIC MATHEMATICS, 3.9412, 4,268
