SCHOOL CODE, SCHOOL NAME, REGION, GPA, SUBJECT_CODE, SUBJECT_NAME, SUBJECT_GPA, SUBJECT_REG_RANK, SUBJECT_NAT_RANK 
S0101, AZANIA, DAR ES SALAAM, 205, 113, GEOGRAPHY, 4.4643, 32,427
S0101, AZANIA, DAR ES SALAAM, 205, 131, PHYSICS, 5.5252, 34,259
S0101, AZANIA, DAR ES SALAAM, 205, 132, CHEMISTRY, 5.0216, 27,249
S0101, AZANIA, DAR ES SALAAM, 205, 133, BIOLOGY, 4.6500, 24,205
S0101, AZANIA, DAR ES SALAAM, 205, 142, ADVANCED MATHEMATICS, 5.5287, 29,206
S0101, AZANIA, DAR ES SALAAM, 205, 151, ECONOMICS, 3.8469, 34,235
S0101, AZANIA, DAR ES SALAAM, 205, 152, COMMERCE, 4.4429, 24,72
S0101, AZANIA, DAR ES SALAAM, 205, 153, ACCOUNTANCY, 4.7286, 18,48
S0103, BIHAWANA, DODOMA, 407, 112, HISTORY, 3.5556, 6,169
S0103, BIHAWANA, DODOMA, 407, 113, GEOGRAPHY, 4.1960, 13,275
S0103, BIHAWANA, DODOMA, 407, 122, ENGLISH LANGUAGE, 3.2222, 4,73
S0103, BIHAWANA, DODOMA, 407, 131, PHYSICS, 4.9852, 8,179
S0103, BIHAWANA, DODOMA, 407, 132, CHEMISTRY, 4.6987, 9,182
S0103, BIHAWANA, DODOMA, 407, 133, BIOLOGY, 4.2182, 7,96
S0103, BIHAWANA, DODOMA, 407, 134, AGRICULTURE, 3.9487, 1,7
S0104, BWIRU BOYS, MWANZA, 123, 113, GEOGRAPHY, 3.5417, 1,29
S0104, BWIRU BOYS, MWANZA, 123, 131, PHYSICS, 5.1810, 16,213
S0104, BWIRU BOYS, MWANZA, 123, 132, CHEMISTRY, 4.5862, 8,157
S0104, BWIRU BOYS, MWANZA, 123, 133, BIOLOGY, 4.4938, 8,158
S0104, BWIRU BOYS, MWANZA, 123, 142, ADVANCED MATHEMATICS, 5.0169, 7,129
S0104, BWIRU BOYS, MWANZA, 123, 151, ECONOMICS, 2.7917, 1,22
S0106, DUNG'UNYI SEMINARY, SINGIDA, 9, 112, HISTORY, 4.0000, 8,418
S0106, DUNG'UNYI SEMINARY, SINGIDA, 9, 113, GEOGRAPHY, 3.4444, 1,23
S0106, DUNG'UNYI SEMINARY, SINGIDA, 9, 121, KISWAHILI, 4.3333, 8,445
S0106, DUNG'UNYI SEMINARY, SINGIDA, 9, 122, ENGLISH LANGUAGE, 3.3333, 3,99
S0106, DUNG'UNYI SEMINARY, SINGIDA, 9, 131, PHYSICS, 5.0000, 4,186
S0106, DUNG'UNYI SEMINARY, SINGIDA, 9, 142, ADVANCED MATHEMATICS, 6.0000, 4,283
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 112, HISTORY, 3.8500, 20,326
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 113, GEOGRAPHY, 4.2449, 11,301
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 121, KISWAHILI, 4.3333, 18,444
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 122, ENGLISH LANGUAGE, 4.3750, 19,468
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 131, PHYSICS, 4.9750, 8,177
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 132, CHEMISTRY, 5.2353, 10,300
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 133, BIOLOGY, 4.7179, 12,224
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 142, ADVANCED MATHEMATICS, 5.2143, 7,144
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 86, 151, ECONOMICS, 3.7500, 8,212
S0108, IFUNDA TECHNICAL, IRINGA, 374, 113, GEOGRAPHY, 4.2830, 16,329
S0108, IFUNDA TECHNICAL, IRINGA, 374, 131, PHYSICS, 5.0819, 6,201
