SCHOOL CODE, SCHOOL NAME, GENDER, GENDER TOTAL, DIV I, DIV II, DIV III, DIV IV, DIV 0, ABS/WITHHELD
S0101, AZANIA, F, 0, 0, 0, 0, 0, 0, 0
S0101, AZANIA, M, 207, 0, 0, 0, 0, 0, 207
S0101, AZANIA, All, 207, 0, 0, 0, 0, 0, 207
S0103, BIHAWANA, F, 0, 0, 0, 0, 0, 0, 0
S0103, BIHAWANA, M, 327, 0, 0, 0, 0, 0, 327
S0103, BIHAWANA, All, 327, 0, 0, 0, 0, 0, 327
S0104, BWIRU BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0104, BWIRU BOYS, M, 137, 0, 0, 0, 0, 0, 137
S0104, BWIRU BOYS, All, 137, 0, 0, 0, 0, 0, 137
S0106, DUNG'UNYI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, M, 4, 0, 0, 0, 0, 0, 4
S0106, DUNG'UNYI SEMINARY, All, 4, 0, 0, 0, 0, 0, 4
S0107, LUTHERAN JUNIOR SEMINARY, F, 44, 0, 0, 0, 0, 0, 44
S0107, LUTHERAN JUNIOR SEMINARY, M, 56, 0, 0, 0, 0, 0, 56
S0107, LUTHERAN JUNIOR SEMINARY, All, 100, 0, 0, 0, 0, 0, 100
S0108, IFUNDA TECHNICAL, F, 77, 0, 0, 0, 0, 0, 77
S0108, IFUNDA TECHNICAL, M, 247, 0, 0, 0, 0, 0, 247
S0108, IFUNDA TECHNICAL, All, 324, 0, 0, 0, 0, 0, 324
S0109, IHUNGO, F, 0, 0, 0, 0, 0, 0, 0
S0109, IHUNGO, M, 384, 0, 0, 0, 0, 0, 384
S0109, IHUNGO, All, 384, 0, 0, 0, 0, 0, 384
S0110, ILBORU, F, 0, 0, 0, 0, 0, 0, 0
S0110, ILBORU, M, 143, 0, 0, 0, 0, 0, 143
S0110, ILBORU, All, 143, 0, 0, 0, 0, 0, 143
S0111, ITAGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0111, ITAGA SEMINARY, M, 4, 0, 0, 0, 0, 0, 4
S0111, ITAGA SEMINARY, All, 4, 0, 0, 0, 0, 0, 4
S0112, IYUNGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0112, IYUNGA TECHNICAL, M, 193, 0, 0, 0, 0, 0, 193
S0112, IYUNGA TECHNICAL, All, 193, 0, 0, 0, 0, 0, 193
S0113, MAFINGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, M, 36, 0, 0, 0, 0, 0, 36
S0113, MAFINGA SEMINARY, All, 36, 0, 0, 0, 0, 0, 36
