SCHOOL CODE, SCHOOL NAME, REGION, GPA, SUBJECT_CODE, SUBJECT_NAME, SUBJECT_GPA, SUBJECT_REG_RANK, SUBJECT_NAT_RANK 
S0101, AZANIA, DAR ES SALAAM, 195, 113, GEOGRAPHY, 4.2759, 31,334
S0101, AZANIA, DAR ES SALAAM, 195, 131, PHYSICS, 5.7755, 29,211
S0101, AZANIA, DAR ES SALAAM, 195, 132, CHEMISTRY, 5.2653, 22,230
S0101, AZANIA, DAR ES SALAAM, 195, 133, BIOLOGY, 4.7308, 20,177
S0101, AZANIA, DAR ES SALAAM, 195, 142, ADVANCED MATHEMATICS, 5.5102, 22,199
S0101, AZANIA, DAR ES SALAAM, 195, 151, ECONOMICS, 4.1169, 26,192
S0101, AZANIA, DAR ES SALAAM, 195, 152, COMMERCE, 4.5417, 18,44
S0101, AZANIA, DAR ES SALAAM, 195, 153, ACCOUNTANCY, 4.9792, 19,46
S0103, BIHAWANA, DODOMA, 382, 112, HISTORY, 3.5263, 13,310
S0103, BIHAWANA, DODOMA, 382, 113, GEOGRAPHY, 3.9702, 8,173
S0103, BIHAWANA, DODOMA, 382, 122, ENGLISH LANGUAGE, 4.1053, 7,79
S0103, BIHAWANA, DODOMA, 382, 131, PHYSICS, 4.8947, 3,84
S0103, BIHAWANA, DODOMA, 382, 132, CHEMISTRY, 5.1760, 11,221
S0103, BIHAWANA, DODOMA, 382, 133, BIOLOGY, 4.6080, 7,152
S0103, BIHAWANA, DODOMA, 382, 134, AGRICULTURE, 5.1505, 1,10
S0104, BWIRU BOYS, MWANZA, 171, 113, GEOGRAPHY, 3.7407, 5,77
S0104, BWIRU BOYS, MWANZA, 171, 131, PHYSICS, 5.4768, 14,173
S0104, BWIRU BOYS, MWANZA, 171, 132, CHEMISTRY, 4.1192, 5,54
S0104, BWIRU BOYS, MWANZA, 171, 133, BIOLOGY, 3.8864, 2,36
S0104, BWIRU BOYS, MWANZA, 171, 142, ADVANCED MATHEMATICS, 4.7889, 6,81
S0104, BWIRU BOYS, MWANZA, 171, 151, ECONOMICS, 3.7407, 7,85
S0106, DUNG'UNYI SEMINARY, SINGIDA, 22, 112, HISTORY, 3.5455, 9,324
S0106, DUNG'UNYI SEMINARY, SINGIDA, 22, 113, GEOGRAPHY, 4.7273, 9,465
S0106, DUNG'UNYI SEMINARY, SINGIDA, 22, 121, KISWAHILI, 3.8333, 8,388
S0106, DUNG'UNYI SEMINARY, SINGIDA, 22, 122, ENGLISH LANGUAGE, 4.1000, 3,78
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 112, HISTORY, 3.7826, 18,428
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 113, GEOGRAPHY, 4.4203, 16,395
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 121, KISWAHILI, 4.0000, 15,405
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 122, ENGLISH LANGUAGE, 5.1563, 16,418
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 131, PHYSICS, 5.0811, 7,116
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 132, CHEMISTRY, 5.0000, 6,185
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 133, BIOLOGY, 4.5854, 6,147
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 142, ADVANCED MATHEMATICS, 5.9630, 11,246
S0107, LUTHERAN JUNIOR SEMINARY, MOROGORO, 114, 151, ECONOMICS, 4.7917, 10,282
S0108, IFUNDA TECHNICAL, IRINGA, 407, 113, GEOGRAPHY, 4.1722, 16,294
