SCHOOL CODE, SCHOOL NAME, GENDER, GENDER TOTAL, DIV I, DIV II, DIV III, DIV IV, DIV 0, ABS/WITHHELD
S0101, AZANIA, F, 0, 0, 0, 0, 0, 0, 0
S0101, AZANIA, M, 334, 35, 66, 82, 96, 53, 2
S0101, AZANIA, All, 334, 35, 66, 82, 96, 53, 2
S0104, BWIRU BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0104, BWIRU BOYS, M, 128, 34, 35, 30, 24, 5, 0
S0104, BWIRU BOYS, All, 128, 34, 35, 30, 24, 5, 0
S0105, CHIDYA, F, 0, 0, 0, 0, 0, 0, 0
S0105, CHIDYA, M, 94, 13, 21, 28, 23, 9, 0
S0105, CHIDYA, All, 94, 13, 21, 28, 23, 9, 0
S0106, DUNG'UNYI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0106, DUNG'UNYI SEMINARY, M, 33, 7, 15, 8, 3, 0, 0
S0106, DUNG'UNYI SEMINARY, All, 33, 7, 15, 8, 3, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, F, 28, 4, 11, 9, 4, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, M, 44, 9, 19, 15, 1, 0, 0
S0107, LUTHERAN JUNIOR SEMINARY, All, 72, 13, 30, 24, 5, 0, 0
S0108, IFUNDA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0108, IFUNDA TECHNICAL, M, 142, 17, 43, 32, 46, 4, 0
S0108, IFUNDA TECHNICAL, All, 142, 17, 43, 32, 46, 4, 0
S0110, ILBORU, F, 0, 0, 0, 0, 0, 0, 0
S0110, ILBORU, M, 113, 57, 34, 12, 4, 0, 6
S0110, ILBORU, All, 113, 57, 34, 12, 4, 0, 6
S0111, ITAGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0111, ITAGA SEMINARY, M, 53, 16, 24, 13, 0, 0, 0
S0111, ITAGA SEMINARY, All, 53, 16, 24, 13, 0, 0, 0
S0112, IYUNGA TECHNICAL, F, 0, 0, 0, 0, 0, 0, 0
S0112, IYUNGA TECHNICAL, M, 107, 22, 36, 29, 17, 3, 0
S0112, IYUNGA TECHNICAL, All, 107, 22, 36, 29, 17, 3, 0
S0113, MAFINGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, M, 28, 26, 2, 0, 0, 0, 0
S0113, MAFINGA SEMINARY, All, 28, 26, 2, 0, 0, 0, 0
S0114, KAENGESA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0114, KAENGESA SEMINARY, M, 44, 13, 23, 8, 0, 0, 0
S0114, KAENGESA SEMINARY, All, 44, 13, 23, 8, 0, 0, 0
S0116, KANTALAMBA, F, 0, 0, 0, 0, 0, 0, 0
S0116, KANTALAMBA, M, 138, 9, 50, 32, 30, 17, 0
S0116, KANTALAMBA, All, 138, 9, 50, 32, 30, 17, 0
S0117, KASITA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0117, KASITA SEMINARY, M, 49, 18, 30, 1, 0, 0, 0
S0117, KASITA SEMINARY, All, 49, 18, 30, 1, 0, 0, 0
S0118, KATOKE SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0118, KATOKE SEMINARY, M, 39, 20, 18, 1, 0, 0, 0
S0118, KATOKE SEMINARY, All, 39, 20, 18, 1, 0, 0, 0
S0119, KIBAHA, F, 0, 0, 0, 0, 0, 0, 0
S0119, KIBAHA, M, 99, 72, 22, 4, 1, 0, 0
S0119, KIBAHA, All, 99, 72, 22, 4, 1, 0, 0
S0121, ST. JAMES SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0121, ST. JAMES SEMINARY, M, 49, 32, 13, 3, 0, 0, 1
S0121, ST. JAMES SEMINARY, All, 49, 32, 13, 3, 0, 0, 1
S0122, KILIMANJARO BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0122, KILIMANJARO BOYS, M, 114, 7, 29, 51, 27, 0, 0
S0122, KILIMANJARO BOYS, All, 114, 7, 29, 51, 27, 0, 0
S0124, LIKONDE SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0124, LIKONDE SEMINARY, M, 29, 4, 23, 2, 0, 0, 0
S0124, LIKONDE SEMINARY, All, 29, 4, 23, 2, 0, 0, 0
S0127, MAKOKO SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0127, MAKOKO SEMINARY, M, 69, 26, 38, 5, 0, 0, 0
S0127, MAKOKO SEMINARY, All, 69, 26, 38, 5, 0, 0, 0
S0128, MALANGALI, F, 0, 0, 0, 0, 0, 0, 0
S0128, MALANGALI, M, 67, 2, 20, 16, 21, 8, 0
S0128, MALANGALI, All, 67, 2, 20, 16, 21, 8, 0
S0129, MARA, F, 0, 0, 0, 0, 0, 0, 0
S0129, MARA, M, 76, 5, 14, 22, 25, 8, 2
S0129, MARA, All, 76, 5, 14, 22, 25, 8, 2
S0130, MAUA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0130, MAUA SEMINARY, M, 35, 16, 18, 1, 0, 0, 0
S0130, MAUA SEMINARY, All, 35, 16, 18, 1, 0, 0, 0
S0134, MOSHI, F, 0, 0, 0, 0, 0, 0, 0
S0134, MOSHI, M, 61, 14, 16, 15, 15, 1, 0
S0134, MOSHI, All, 61, 14, 16, 15, 15, 1, 0
S0135, MOSHI TECHNICAL, F, 48, 6, 10, 6, 23, 3, 0
S0135, MOSHI TECHNICAL, M, 163, 38, 34, 25, 45, 19, 2
S0135, MOSHI TECHNICAL, All, 211, 44, 44, 31, 68, 22, 2
S0136, MUSOMA, F, 0, 0, 0, 0, 0, 0, 0
S0136, MUSOMA, M, 88, 28, 30, 12, 12, 6, 0
S0136, MUSOMA, All, 88, 28, 30, 12, 12, 6, 0
S0138, MPWAPWA, F, 0, 0, 0, 0, 0, 0, 0
S0138, MPWAPWA, M, 73, 22, 19, 11, 19, 2, 0
S0138, MPWAPWA, All, 73, 22, 19, 11, 19, 2, 0
S0139, MTWARA TECHNICAL, F, 23, 6, 7, 4, 5, 0, 1
S0139, MTWARA TECHNICAL, M, 82, 24, 23, 15, 17, 2, 1
S0139, MTWARA TECHNICAL, All, 105, 30, 30, 19, 22, 2, 2
S0140, MZUMBE, F, 0, 0, 0, 0, 0, 0, 0
S0140, MZUMBE, M, 114, 73, 24, 12, 1, 0, 4
S0140, MZUMBE, All, 114, 73, 24, 12, 1, 0, 4
S0141, NAMUPA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0141, NAMUPA SEMINARY, M, 38, 6, 17, 8, 7, 0, 0
S0141, NAMUPA SEMINARY, All, 38, 6, 17, 8, 7, 0, 0
S0146, NYEGEZI SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0146, NYEGEZI SEMINARY, M, 41, 23, 18, 0, 0, 0, 0
S0146, NYEGEZI SEMINARY, All, 41, 23, 18, 0, 0, 0, 0
S0147, PUGU, F, 0, 0, 0, 0, 0, 0, 0
S0147, PUGU, M, 86, 14, 18, 11, 27, 11, 5
S0147, PUGU, All, 86, 14, 18, 11, 27, 11, 5
S0148, RUBYA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0148, RUBYA SEMINARY, M, 26, 22, 4, 0, 0, 0, 0
S0148, RUBYA SEMINARY, All, 26, 22, 4, 0, 0, 0, 0
S0152, SHINYANGA, F, 0, 0, 0, 0, 0, 0, 0
S0152, SHINYANGA, M, 161, 10, 36, 41, 51, 22, 1
S0152, SHINYANGA, All, 161, 10, 36, 41, 51, 22, 1
S0153, SONGEA BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0153, SONGEA BOYS, M, 66, 12, 19, 22, 12, 1, 0
S0153, SONGEA BOYS, All, 66, 12, 19, 22, 12, 1, 0
S0154, ST. PETER'S SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0154, ST. PETER'S SEMINARY, M, 45, 23, 22, 0, 0, 0, 0
S0154, ST. PETER'S SEMINARY, All, 45, 23, 22, 0, 0, 0, 0
S0155, TABORA BOYS, F, 0, 0, 0, 0, 0, 0, 0
S0155, TABORA BOYS, M, 94, 49, 35, 5, 5, 0, 0
S0155, TABORA BOYS, All, 94, 49, 35, 5, 5, 0, 0
S0156, TANGA TECHNICAL, F, 19, 1, 2, 4, 9, 3, 0
S0156, TANGA TECHNICAL, M, 138, 27, 32, 27, 39, 12, 1
S0156, TANGA TECHNICAL, All, 157, 28, 34, 31, 48, 15, 1
S0157, HANGA SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0157, HANGA SEMINARY, M, 56, 4, 40, 9, 3, 0, 0
S0157, HANGA SEMINARY, All, 56, 4, 40, 9, 3, 0, 0
S0159, ST. JOSEPH'S ITERAMBOGO SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0159, ST. JOSEPH'S ITERAMBOGO SEMINARY, M, 76, 51, 25, 0, 0, 0, 0
S0159, ST. JOSEPH'S ITERAMBOGO SEMINARY, All, 76, 51, 25, 0, 0, 0, 0
S0165, URU SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0165, URU SEMINARY, M, 71, 23, 40, 7, 1, 0, 0
S0165, URU SEMINARY, All, 71, 23, 40, 7, 1, 0, 0
S0167, KIDUGALA LUTHERAN SEMINARY, F, 26, 9, 15, 2, 0, 0, 0
S0167, KIDUGALA LUTHERAN SEMINARY, M, 51, 26, 24, 1, 0, 0, 0
S0167, KIDUGALA LUTHERAN SEMINARY, All, 77, 35, 39, 3, 0, 0, 0
S0168, SANU SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0168, SANU SEMINARY, M, 60, 20, 31, 8, 0, 0, 1
S0168, SANU SEMINARY, All, 60, 20, 31, 8, 0, 0, 1
S0169, BIHAWANA JUNIOR SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0169, BIHAWANA JUNIOR SEMINARY, M, 33, 2, 19, 11, 1, 0, 0
S0169, BIHAWANA JUNIOR SEMINARY, All, 33, 2, 19, 11, 1, 0, 0
S0171, ARUSHA CATHOLIC SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0171, ARUSHA CATHOLIC SEMINARY, M, 37, 7, 27, 3, 0, 0, 0
S0171, ARUSHA CATHOLIC SEMINARY, All, 37, 7, 27, 3, 0, 0, 0
S0172, DON BOSCO SEMINARY, F, 0, 0, 0, 0, 0, 0, 0
S0172, DON BOSCO SEMINARY, M, 40, 28, 12, 0, 0, 0, 0
S0172, DON BOSCO SEMINARY, All, 40, 28, 12, 0, 0, 0, 0
S0173, NYAMILAMA, F, 60, 0, 1, 7, 24, 24, 4
S0173, NYAMILAMA, M, 67, 1, 14, 14, 16, 21, 1
S0173, NYAMILAMA, All, 127, 1, 15, 21, 40, 45, 5
